author_name,total_comments,total_likes_received,videos_commented_on
@aliabdaal,630,54827,567
@khalilahd.,42,4773,33
@on9francisyu,41,90,19
@ThreeTwentyTech,39,40198,22
@PatriciaDawn3,39,1,6
@Novah_Illustrations,35,6,35
@ElenaHarris272,30,178,5
@intentionalliving7326,29,61,17
@therealmattchong,27,2396,15
@radhasircar8558,27,70,27
@nehalaomar8697,27,48,26
@EvelynMoore629,24,975,4
@taufeeq8269,23,279,19
@IshaSharma11,22,73,14
@lesliegraham8478,22,298,20
@QuestionEverythingButWHY,21,3736,13
@ThatMedic,21,1702,18
@PokhrajRoy.,21,7315,18
@Ari_diwan,21,203,19
@remider_1dh,19,21,7
